CustomerID,DateOfLastPurchase,DateOfFirstPurchase,NumberOfOrders,TotalValueOfOrders,DaysActive,DateDiffFirstToPresentDay,DaysPerOrder,AverageOrderValue,RecencyRanking,FrequencyRanking,MonetaryRanking,RFM_ID,Customer_Type
12370,2011-10-19 14:51:00 UTC,2010-12-14 12:58:00 UTC,4,3545.69,310,353,88.25,886.4225,2,1,1,211,Top customer
12371,2011-10-26 10:16:00 UTC,2011-10-11 10:43:00 UTC,2,1887.96,15,52,26,943.98,2,2,1,221,Must not lose
12372,2011-09-29 12:12:00 UTC,2011-02-16 12:46:00 UTC,3,1298.04,225,289,96.333333333333329,432.68,2,2,1,221,Must not lose
12373,2011-02-01 13:10:00 UTC,2011-02-01 13:10:00 UTC,1,364.6,1,304,304,364.6,3,3,3,333,Lost
12374,2011-11-14 15:37:00 UTC,2011-11-14 15:37:00 UTC,1,742.93,1,18,18,742.93,1,3,2,132,Potentially loyal customer
12375,2011-11-29 10:36:00 UTC,2011-09-02 14:23:00 UTC,2,457.5,88,91,45.5,228.75,1,2,2,122,Potentially loyal customer
12377,2011-01-28 15:45:00 UTC,2010-12-20 09:37:00 UTC,2,1628.12,40,347,173.5,814.06,3,2,1,321,Must not lose
12378,2011-08-02 10:34:00 UTC,2011-08-02 10:34:00 UTC,1,4008.62,1,122,122,4008.62,3,3,1,331,Lost
12379,2011-09-19 10:09:00 UTC,2011-06-22 16:32:00 UTC,2,852.24,89,163,81.5,426.12,2,2,2,222,Customer needing attention
12380,2011-11-18 11:27:00 UTC,2011-06-07 09:49:00 UTC,4,2724.81,165,178,44.5,681.2025,1,1,1,111,Top customer
12381,2011-11-06 13:36:00 UTC,2011-08-12 09:57:00 UTC,4,1698.3,87,112,28,424.575,2,1,1,211,Top customer
12383,2011-06-08 08:02:00 UTC,2010-12-22 14:28:00 UTC,5,1850.56,168,345,69,370.11199999999997,3,1,1,311,Must not lose
12384,2011-11-11 08:39:00 UTC,2011-08-10 11:23:00 UTC,2,585.27,93,114,57,292.635,1,2,2,122,Potentially loyal customer
12386,2011-01-06 12:37:00 UTC,2010-12-08 09:53:00 UTC,2,401.9,30,359,179.5,200.95,3,2,2,322,On the way out
12388,2011-11-24 12:30:00 UTC,2011-01-17 11:12:00 UTC,6,2780.66,312,319,53.166666666666664,463.44333333333333,1,1,1,111,Top customer
12390,2011-09-21 09:33:00 UTC,2011-09-21 09:33:00 UTC,1,549.84,1,72,72,549.84,2,3,2,232,Customer needing attention
12391,2011-11-18 12:07:00 UTC,2011-11-18 12:07:00 UTC,1,460.89,1,14,14,460.89,1,3,2,132,Potentially loyal customer
12393,2011-09-28 15:41:00 UTC,2011-01-11 09:47:00 UTC,4,1582.6,261,325,81.25,395.65,2,1,1,211,Top customer
12394,2011-10-07 08:08:00 UTC,2011-05-06 14:01:00 UTC,2,1272.48,154,210,105,636.24,2,2,1,221,Must not lose
12395,2011-11-20 15:21:00 UTC,2010-12-03 16:35:00 UTC,12,3018.63,352,364,30.333333333333332,251.5525,1,1,1,111,Top customer
12397,2011-11-04 09:52:00 UTC,2011-07-27 14:21:00 UTC,2,2409.9,100,128,64,1204.95,2,2,1,221,Must not lose
12398,2011-10-25 10:27:00 UTC,2011-10-25 10:27:00 UTC,1,1635.66,1,38,38,1635.66,2,3,1,231,Must not lose
12399,2011-08-12 13:15:00 UTC,2011-03-23 09:42:00 UTC,4,1108.65,143,254,63.5,277.1625,3,1,2,312,On the way out
12401,2011-02-09 13:50:00 UTC,2011-02-09 13:50:00 UTC,1,84.3,1,296,296,84.3,3,3,3,333,Lost
12402,2011-01-20 13:49:00 UTC,2011-01-20 13:49:00 UTC,1,225.6,1,316,316,225.6,3,3,3,333,Lost
12403,2011-10-21 10:51:00 UTC,2011-10-21 10:51:00 UTC,1,427.7,1,42,42,427.7,2,3,2,232,Customer needing attention
12405,2011-07-14 08:52:00 UTC,2011-07-14 08:52:00 UTC,1,1710.39,1,141,141,1710.39,3,3,1,331,Lost
12406,2011-11-17 19:22:00 UTC,2011-06-09 10:23:00 UTC,2,3415.3,162,176,88,1707.65,1,2,1,121,Potentially loyal customer
12407,2011-10-21 10:11:00 UTC,2011-03-20 13:21:00 UTC,5,1708.12,215,257,51.4,341.62399999999997,2,1,1,211,Top customer
12408,2011-11-07 12:27:00 UTC,2011-03-24 14:46:00 UTC,5,2888.55,228,253,50.6,577.71,2,1,1,211,Top customer
12409,2011-09-22 10:38:00 UTC,2011-06-10 12:19:00 UTC,3,11072.67,104,175,58.333333333333336,3690.89,2,2,1,221,Must not lose
12410,2011-02-04 10:39:00 UTC,2011-02-04 10:38:00 UTC,2,693.33,1,301,150.5,346.665,3,2,2,322,On the way out
12412,2011-09-26 10:16:00 UTC,2011-06-23 13:51:00 UTC,3,1226.88,95,162,54,408.96000000000004,2,2,1,221,Must not lose
12413,2011-10-04 09:00:00 UTC,2011-01-06 16:12:00 UTC,3,758.1,271,330,110,252.70000000000002,2,2,2,222,Customer needing attention
12414,2011-05-06 14:51:00 UTC,2011-02-02 14:51:00 UTC,3,562.41,94,303,101,187.47,3,2,2,322,On the way out
12415,2011-11-15 14:22:00 UTC,2011-01-06 11:12:00 UTC,21,124914.53,314,330,15.714285714285714,5948.3109523809526,1,1,1,111,Top customer
12417,2011-10-31 16:02:00 UTC,2010-12-17 11:51:00 UTC,8,3279.37,319,350,43.75,409.92125,2,1,1,211,Top customer
12418,2011-08-19 11:08:00 UTC,2011-08-19 11:08:00 UTC,1,668.58,1,105,105,668.58,3,3,2,332,Lost
12420,2011-10-07 08:55:00 UTC,2011-10-07 08:55:00 UTC,1,600.39,1,56,56,600.39,2,3,2,232,Customer needing attention
12421,2011-11-24 09:07:00 UTC,2011-01-24 15:09:00 UTC,4,807.04,304,312,78,201.76,1,1,2,112,Top customer
12422,2011-09-05 09:48:00 UTC,2011-01-19 09:13:00 UTC,3,803.56,230,317,105.66666666666667,267.8533333333333,2,2,2,222,Customer needing attention
12423,2011-08-31 08:55:00 UTC,2010-12-21 10:54:00 UTC,7,1650.67,253,346,49.428571428571431,235.81,2,1,1,211,Top customer
12424,2011-06-30 12:06:00 UTC,2011-06-30 12:06:00 UTC,2,1760.96,1,155,77.5,880.48,3,2,1,321,Must not lose
12425,2011-09-22 17:31:00 UTC,2011-09-22 17:31:00 UTC,1,777.2,1,71,71,777.2,2,3,2,232,Customer needing attention
12426,2011-05-29 12:26:00 UTC,2011-05-29 12:26:00 UTC,1,582.73,1,187,187,582.73,3,3,2,332,Lost
12427,2011-11-18 08:56:00 UTC,2010-12-03 10:44:00 UTC,3,825.8,350,364,121.33333333333333,275.26666666666665,1,2,2,122,Potentially loyal customer
12428,2011-11-14 08:22:00 UTC,2011-03-01 09:33:00 UTC,9,7956.46,258,276,30.666666666666668,884.05111111111114,1,1,1,111,Top customer
12429,2011-11-30 17:22:00 UTC,2010-12-09 12:05:00 UTC,4,3750.4,357,358,89.5,937.6,1,1,1,111,Top customer
12430,2011-10-27 15:09:00 UTC,2011-10-27 15:09:00 UTC,1,256.4,1,36,36,256.4,2,3,3,233,Customer needing attention
12431,2011-11-04 11:55:00 UTC,2010-12-01 10:03:00 UTC,15,6487.45,339,366,24.4,432.49666666666667,2,1,1,211,Top customer
12432,2011-10-28 11:43:00 UTC,2011-06-20 13:27:00 UTC,5,5059.32,130,165,33,1011.8639999999999,2,1,1,211,Top customer
12433,2011-11-30 14:05:00 UTC,2010-12-01 13:24:00 UTC,5,10737.18,365,366,73.2,2147.436,1,1,1,111,Top customer
12434,2011-09-16 12:38:00 UTC,2011-03-24 13:05:00 UTC,2,806.14,176,253,126.5,403.07,2,2,2,222,Customer needing attention
12435,2011-09-21 09:06:00 UTC,2011-03-17 07:40:00 UTC,2,7829.89,189,260,130,3914.945,2,2,1,221,Must not lose
12436,2011-09-01 12:09:00 UTC,2011-09-01 12:09:00 UTC,1,509.01,1,92,92,509.01,2,3,2,232,Customer needing attention
12437,2011-11-30 16:47:00 UTC,2011-01-12 14:13:00 UTC,17,4785.51,323,324,19.058823529411764,281.50058823529412,1,1,1,111,Top customer
12438,2011-11-25 13:28:00 UTC,2011-07-22 13:29:00 UTC,2,2906.85,126,133,66.5,1453.425,1,2,1,121,Potentially loyal customer
12441,2010-12-08 10:45:00 UTC,2010-12-08 10:45:00 UTC,1,173.55,1,359,359,173.55,3,3,3,333,Lost
12444,2011-11-18 13:23:00 UTC,2011-06-21 14:00:00 UTC,5,5005.46,150,164,32.8,1001.092,1,1,1,111,Top customer
12445,2011-11-17 18:43:00 UTC,2011-11-17 18:43:00 UTC,1,133.4,1,15,15,133.4,1,3,3,133,Recent or promising customer
12446,2011-10-13 12:50:00 UTC,2011-10-13 12:50:00 UTC,1,1002.31,1,50,50,1002.31,2,3,2,232,Customer needing attention
12447,2011-04-10 13:25:00 UTC,2011-04-10 13:25:00 UTC,1,476.49,1,236,236,476.49,3,3,2,332,Lost
12448,2011-10-26 13:46:00 UTC,2011-10-26 13:46:00 UTC,1,449.45,1,37,37,449.45,2,3,2,232,Customer needing attention
12449,2011-11-17 13:46:00 UTC,2011-06-05 15:37:00 UTC,4,4067.29,165,180,45,1016.8225,1,1,1,111,Top customer
12450,2011-07-06 14:41:00 UTC,2011-06-19 14:36:00 UTC,2,197.88,18,166,83,98.94,3,2,3,323,On the way out
12451,2011-11-29 08:40:00 UTC,2011-01-19 09:05:00 UTC,5,9035.52,314,317,63.4,1807.104,1,1,1,111,Top customer
12452,2011-11-23 10:28:00 UTC,2011-11-23 08:05:00 UTC,2,430.57,1,9,4.5,215.285,1,2,2,122,Potentially loyal customer
12453,2011-07-28 14:08:00 UTC,2011-07-28 14:08:00 UTC,1,707.09,1,127,127,707.09,3,3,2,332,Lost
12454,2011-10-14 17:13:00 UTC,2011-10-14 17:13:00 UTC,1,3528.34,1,49,49,3528.34,2,3,1,231,Must not lose
12455,2011-09-27 15:31:00 UTC,2011-02-16 09:56:00 UTC,6,2466.86,224,289,48.166666666666664,411.14333333333337,2,1,1,211,Top customer
12456,2011-10-26 14:41:00 UTC,2011-03-30 09:12:00 UTC,3,3181.04,211,247,82.333333333333329,1060.3466666666666,2,2,1,221,Must not lose
12457,2011-10-04 13:13:00 UTC,2011-04-14 18:57:00 UTC,7,2363.23,173,232,33.142857142857146,337.60428571428571,2,1,1,211,Top customer
12458,2011-09-29 15:25:00 UTC,2011-02-28 10:55:00 UTC,2,947.4,214,277,138.5,473.7,2,2,2,222,Customer needing attention
12461,2011-09-06 16:57:00 UTC,2011-07-08 10:23:00 UTC,2,826.88,61,147,73.5,413.44,2,2,2,222,Customer needing attention
12462,2011-11-21 09:11:00 UTC,2011-02-09 14:44:00 UTC,2,1189.59,285,296,148,594.795,1,2,1,121,Potentially loyal customer
12463,2011-10-17 13:44:00 UTC,2011-04-12 12:47:00 UTC,4,1344.78,189,234,58.5,336.195,2,1,1,211,Top customer
12464,2011-11-29 13:33:00 UTC,2011-02-03 13:30:00 UTC,8,1212.05,300,302,37.75,151.50625,1,1,1,111,Top customer
12465,2011-11-22 16:34:00 UTC,2011-06-23 13:37:00 UTC,2,742.19,153,162,81,371.095,1,2,2,122,Potentially loyal customer
12468,2011-06-05 11:36:00 UTC,2011-01-27 13:29:00 UTC,2,729.54,129,309,154.5,364.77,3,2,2,322,On the way out
12471,2011-11-29 13:01:00 UTC,2010-12-10 09:35:00 UTC,29,17585.54,355,357,12.310344827586206,606.39793103448278,1,1,1,111,Top customer
12472,2011-11-07 14:01:00 UTC,2010-12-05 14:19:00 UTC,7,6572.11,337,362,51.714285714285715,938.87285714285713,1,1,1,111,Top customer
12473,2011-11-10 13:46:00 UTC,2011-06-01 10:15:00 UTC,5,3938.55,163,184,36.8,787.71,1,1,1,111,Top customer
12474,2011-11-22 14:39:00 UTC,2011-01-14 10:06:00 UTC,18,7375.79,313,322,17.888888888888889,409.76611111111112,1,1,1,111,Top customer
12475,2011-10-17 10:10:00 UTC,2011-10-17 10:10:00 UTC,1,723.38,1,46,46,723.38,2,3,2,232,Customer needing attention
12476,2011-11-24 12:40:00 UTC,2010-12-13 14:39:00 UTC,11,6816.42,346,354,32.18181818181818,619.67454545454541,1,1,1,111,Top customer
12477,2011-11-17 09:51:00 UTC,2011-02-11 12:45:00 UTC,6,13219.74,279,294,49,2203.29,1,1,1,111,Top customer
12479,2011-11-28 13:26:00 UTC,2011-11-28 13:26:00 UTC,1,527.2,1,4,4,527.2,1,3,2,132,Potentially loyal customer
12480,2011-11-11 14:52:00 UTC,2011-01-07 15:27:00 UTC,4,3281.63,308,329,82.25,820.4075,1,1,1,111,Top customer
12481,2011-11-17 08:29:00 UTC,2010-12-09 10:13:00 UTC,10,5596.32,343,358,35.8,559.632,1,1,1,111,Top customer
12483,2011-11-22 17:02:00 UTC,2011-01-04 14:20:00 UTC,8,2484.98,323,332,41.5,310.6225,1,1,1,111,Top customer
12484,2011-11-07 11:37:00 UTC,2011-01-07 14:04:00 UTC,6,4541.72,304,329,54.833333333333336,756.95333333333338,2,1,1,211,Top customer
12488,2011-11-30 08:50:00 UTC,2011-09-25 10:34:00 UTC,3,1298.66,66,68,22.666666666666668,432.88666666666671,1,2,1,121,Potentially loyal customer
12489,2011-01-07 13:13:00 UTC,2011-01-07 13:13:00 UTC,1,334.93,1,329,329,334.93,3,3,3,333,Lost
12490,2011-11-22 11:19:00 UTC,2011-01-14 09:13:00 UTC,9,4955.63,313,322,35.777777777777779,550.62555555555559,1,1,1,111,Top customer
12491,2011-11-01 12:18:00 UTC,2011-11-01 12:18:00 UTC,1,460.4,1,31,31,460.4,2,3,2,232,Customer needing attention
12492,2011-10-07 15:15:00 UTC,2011-08-26 14:51:00 UTC,2,263.21,43,98,49,131.605,2,2,3,223,Customer needing attention
12493,2011-06-27 10:17:00 UTC,2011-05-26 14:53:00 UTC,2,433.74,32,190,95,216.87,3,2,2,322,On the way out
12494,2011-11-24 09:34:00 UTC,2010-12-09 11:31:00 UTC,7,1246.1,350,358,51.142857142857146,178.01428571428571,1,1,1,111,Top customer
12497,2011-09-19 12:29:00 UTC,2011-09-19 12:29:00 UTC,1,1043.1,1,74,74,1043.1,2,3,2,232,Customer needing attention
12498,2011-11-18 12:53:00 UTC,2011-10-13 09:30:00 UTC,3,403.7,37,50,16.666666666666668,134.56666666666666,1,2,2,122,Potentially loyal customer
12500,2011-11-16 16:20:00 UTC,2011-01-10 09:48:00 UTC,11,4257.82,311,326,29.636363636363637,387.07454545454544,1,1,1,111,Top customer
12501,2011-01-07 12:28:00 UTC,2011-01-07 12:28:00 UTC,1,2169.39,1,329,329,2169.39,3,3,1,331,Lost
12502,2011-09-05 11:52:00 UTC,2011-02-03 10:41:00 UTC,5,3723.87,215,302,60.4,744.774,2,1,1,211,Top customer
12504,2011-11-21 16:02:00 UTC,2011-11-09 14:56:00 UTC,2,482.05,13,23,11.5,241.025,1,2,2,122,Potentially loyal customer
12506,2011-04-21 08:54:00 UTC,2011-04-21 08:54:00 UTC,1,73.5,1,225,225,73.5,3,3,3,333,Lost
12507,2011-07-28 17:09:00 UTC,2011-02-14 09:24:00 UTC,3,1304.81,165,291,97,434.93666666666667,3,2,1,321,Must not lose
12508,2011-11-13 15:37:00 UTC,2011-11-10 16:27:00 UTC,2,398.27,3,22,11,199.135,1,2,2,122,Potentially loyal customer
12509,2011-02-28 14:45:00 UTC,2011-02-28 14:45:00 UTC,1,176.5,1,277,277,176.5,3,3,3,333,Lost
12510,2011-07-20 10:15:00 UTC,2011-01-18 14:04:00 UTC,2,982.57,183,318,159,491.285,3,2,2,322,On the way out
12512,2011-10-04 14:55:00 UTC,2011-10-04 14:53:00 UTC,2,138.03,1,59,29.5,69.015,2,2,3,223,Customer needing attention
12513,2011-08-19 10:51:00 UTC,2011-08-19 10:51:00 UTC,1,612.29,1,105,105,612.29,3,3,2,332,Lost
12514,2011-03-17 16:38:00 UTC,2011-03-17 16:38:00 UTC,1,1017.68,1,260,260,1017.68,3,3,2,332,Lost
12515,2010-12-21 15:43:00 UTC,2010-12-21 15:43:00 UTC,1,383.7,1,346,346,383.7,3,3,2,332,Lost
12516,2011-09-23 09:13:00 UTC,2011-06-12 11:37:00 UTC,2,1312.06,103,173,86.5,656.03,2,2,1,221,Must not lose
12517,2011-11-11 14:04:00 UTC,2011-06-02 15:13:00 UTC,5,2502.84,162,183,36.6,500.56800000000004,1,1,1,111,Top customer
12518,2011-11-11 11:18:00 UTC,2011-08-21 13:18:00 UTC,4,1717.75,82,103,25.75,429.4375,1,1,1,111,Top customer
12519,2011-10-07 09:26:00 UTC,2011-10-07 09:26:00 UTC,1,340.84,1,56,56,340.84,2,3,3,233,Customer needing attention
12520,2011-09-21 15:23:00 UTC,2011-03-11 11:35:00 UTC,5,2634.26,195,266,53.2,526.85200000000009,2,1,1,211,Top customer
12521,2011-07-20 10:51:00 UTC,2011-07-20 10:51:00 UTC,1,599.68,1,135,135,599.68,3,3,2,332,Lost
12522,2011-10-31 15:30:00 UTC,2011-10-19 14:41:00 UTC,2,192.72,13,44,22,96.36,2,2,3,223,Customer needing attention
12523,2011-11-20 12:55:00 UTC,2011-01-12 09:43:00 UTC,11,1789.77,313,324,29.454545454545453,162.70636363636365,1,1,1,111,Top customer
12524,2011-11-30 15:31:00 UTC,2011-01-10 10:35:00 UTC,8,4485.72,325,326,40.75,560.715,1,1,1,111,Top customer
12526,2011-10-17 09:37:00 UTC,2011-09-06 14:19:00 UTC,2,1039.58,41,87,43.5,519.79,2,2,2,222,Customer needing attention
12527,2011-09-19 11:55:00 UTC,2011-01-18 12:05:00 UTC,3,348.71,244,318,106,116.23666666666666,2,2,3,223,Customer needing attention
12528,2011-11-30 14:40:00 UTC,2011-01-31 09:05:00 UTC,6,1933.48,304,305,50.833333333333336,322.24666666666667,1,1,1,111,Top customer
12530,2011-10-11 12:34:00 UTC,2011-01-07 10:04:00 UTC,4,1662.28,278,329,82.25,415.57,2,1,1,211,Top customer
12531,2011-11-25 11:12:00 UTC,2011-11-25 11:12:00 UTC,1,125.22,1,7,7,125.22,1,3,3,133,Recent or promising customer
12532,2011-11-09 13:47:00 UTC,2011-11-09 13:47:00 UTC,1,349.83,1,23,23,349.83,1,3,3,133,Recent or promising customer
12534,2011-08-01 10:26:00 UTC,2011-08-01 10:26:00 UTC,1,1089.18,1,123,123,1089.18,3,3,2,332,Lost
12535,2011-09-09 08:48:00 UTC,2011-06-06 12:47:00 UTC,2,716.35,95,179,89.5,358.175,2,2,2,222,Customer needing attention
12536,2011-10-27 14:20:00 UTC,2011-10-11 14:52:00 UTC,3,12601.83,16,52,17.333333333333332,4200.61,2,2,1,221,Must not lose
12538,2011-11-10 17:16:00 UTC,2011-11-10 17:16:00 UTC,1,363.95,1,22,22,363.95,1,3,3,133,Recent or promising customer
12539,2011-11-17 13:30:00 UTC,2011-01-10 09:11:00 UTC,4,5568.35,312,326,81.5,1392.0875,1,1,1,111,Top customer
12540,2011-11-20 11:31:00 UTC,2010-12-13 09:39:00 UTC,17,13400.24,343,354,20.823529411764707,788.24941176470588,1,1,1,111,Top customer
12541,2011-11-10 10:40:00 UTC,2011-03-04 09:32:00 UTC,3,981.18,252,273,91,327.06,1,2,2,122,Potentially loyal customer
12544,2011-11-03 16:15:00 UTC,2011-11-03 16:15:00 UTC,1,372.7,1,29,29,372.7,2,3,3,233,Customer needing attention
12545,2011-09-25 13:39:00 UTC,2011-03-25 12:04:00 UTC,2,1000.39,185,252,126,500.195,2,2,2,222,Customer needing attention
12546,2011-10-24 12:09:00 UTC,2011-09-23 09:44:00 UTC,2,1161.5,32,70,35,580.75,2,2,1,221,Must not lose
12547,2011-05-26 12:38:00 UTC,2011-03-04 12:46:00 UTC,2,207.8,83,273,136.5,103.9,3,2,3,323,On the way out
12548,2011-06-26 15:35:00 UTC,2011-06-26 15:35:00 UTC,1,95.2,1,159,159,95.2,3,3,3,333,Lost
12550,2011-09-21 14:35:00 UTC,2011-09-21 14:35:00 UTC,1,964.83,1,72,72,964.83,2,3,2,232,Customer needing attention
12551,2010-12-17 11:23:00 UTC,2010-12-17 11:23:00 UTC,1,168,1,350,350,168,3,3,3,333,Lost
12552,2011-11-01 10:02:00 UTC,2011-10-31 12:11:00 UTC,2,437.82,1,32,16,218.91,2,2,2,222,Customer needing attention
12553,2011-12-01 16:38:00 UTC,2011-01-14 10:42:00 UTC,10,3692.28,322,322,32.2,369.228,1,1,1,111,Top customer
12556,2011-10-20 13:06:00 UTC,2011-07-11 13:35:00 UTC,2,603.71,101,144,72,301.855,2,2,2,222,Customer needing attention
12557,2011-11-23 16:59:00 UTC,2010-12-03 12:20:00 UTC,5,11990.96,356,364,72.8,2398.192,1,1,1,111,Top customer
12559,2011-02-02 09:49:00 UTC,2011-01-24 10:12:00 UTC,2,561.71,9,312,156,280.855,3,2,2,322,On the way out
12560,2011-08-19 15:22:00 UTC,2011-07-19 15:55:00 UTC,2,1436.31,31,136,68,718.155,3,2,1,321,Must not lose
12561,2011-02-10 11:39:00 UTC,2011-02-10 11:39:00 UTC,1,238.85,1,295,295,238.85,3,3,3,333,Lost
12562,2011-12-01 17:20:00 UTC,2011-05-25 12:44:00 UTC,7,3781.74,191,191,27.285714285714285,540.24857142857138,1,1,1,111,Top customer
12564,2011-03-23 14:55:00 UTC,2011-03-23 14:55:00 UTC,1,456.9,1,254,254,456.9,3,3,2,332,Lost
12565,2011-02-24 10:34:00 UTC,2011-02-24 10:34:00 UTC,1,145.92,1,281,281,145.92,3,3,3,333,Lost
12566,2011-09-14 14:30:00 UTC,2011-09-14 14:30:00 UTC,1,351.65,1,79,79,351.65,2,3,3,233,Customer needing attention
12567,2011-11-17 11:02:00 UTC,2010-12-05 11:57:00 UTC,10,9401.28,347,362,36.2,940.128,1,1,1,111,Top customer
12569,2011-12-01 08:35:00 UTC,2011-04-01 13:47:00 UTC,27,3637.86,244,245,9.0740740740740744,134.73555555555555,1,1,1,111,Top customer
12571,2011-10-31 10:19:00 UTC,2011-08-10 12:35:00 UTC,2,519.61,82,114,57,259.805,2,2,2,222,Customer needing attention
12572,2011-12-01 09:20:00 UTC,2011-10-19 08:20:00 UTC,2,1020.42,44,44,22,510.21,1,2,2,122,Potentially loyal customer
12573,2011-04-26 15:52:00 UTC,2011-04-26 15:52:00 UTC,1,160.54,1,220,220,160.54,3,3,3,333,Lost
12574,2011-01-28 09:20:00 UTC,2011-01-28 09:20:00 UTC,1,218.45,1,308,308,218.45,3,3,3,333,Lost
12576,2011-11-04 10:11:00 UTC,2011-02-08 11:31:00 UTC,5,1315.83,269,297,59.4,263.166,2,1,1,211,Top customer
12577,2011-11-04 13:24:00 UTC,2010-12-15 16:21:00 UTC,3,657.8,324,352,117.33333333333333,219.26666666666665,2,2,2,222,Customer needing attention
12578,2011-11-18 13:30:00 UTC,2011-01-13 15:34:00 UTC,2,2794.51,309,323,161.5,1397.255,1,2,1,121,Potentially loyal customer
12579,2011-09-22 17:15:00 UTC,2011-09-22 17:15:00 UTC,1,440.42,1,71,71,440.42,2,3,2,232,Customer needing attention
12580,2011-04-07 10:24:00 UTC,2011-04-07 10:24:00 UTC,1,415.7,1,239,239,415.7,3,3,2,332,Lost
12581,2011-10-31 08:56:00 UTC,2011-10-31 08:56:00 UTC,1,197.71,1,32,32,197.71,2,3,3,233,Customer needing attention
12582,2011-04-15 08:45:00 UTC,2011-02-24 11:42:00 UTC,2,511.36,50,281,140.5,255.68,3,2,2,322,On the way out
12583,2011-11-21 11:16:00 UTC,2010-12-01 08:45:00 UTC,14,6586.61,356,366,26.142857142857142,470.47214285714284,1,1,1,111,Top customer
12584,2011-11-22 08:34:00 UTC,2011-03-04 15:15:00 UTC,8,2137.7,263,273,34.125,267.2125,1,1,1,111,Top customer
12585,2011-04-19 13:39:00 UTC,2010-12-23 12:58:00 UTC,2,2040.1,118,344,172,1020.05,3,2,1,321,Must not lose
12586,2011-11-22 16:24:00 UTC,2011-11-22 16:24:00 UTC,1,196.94,1,10,10,196.94,1,3,3,133,Recent or promising customer
12588,2011-10-31 15:01:00 UTC,2011-10-31 15:01:00 UTC,1,214.9,1,32,32,214.9,2,3,3,233,Customer needing attention
12589,2011-11-11 10:19:00 UTC,2011-07-18 12:05:00 UTC,2,646.68,116,137,68.5,323.34,1,2,2,122,Potentially loyal customer
12590,2011-05-12 14:52:00 UTC,2011-05-12 14:46:00 UTC,2,9864.26,1,204,102,4932.13,3,2,1,321,Must not lose
12591,2011-01-26 14:35:00 UTC,2011-01-26 14:35:00 UTC,1,452.85,1,310,310,452.85,3,3,2,332,Lost
12592,2011-09-08 15:04:00 UTC,2011-05-10 13:44:00 UTC,2,437.6,122,206,103,218.8,2,2,2,222,Customer needing attention
12593,2011-08-23 12:43:00 UTC,2011-05-05 09:29:00 UTC,3,418.1,111,211,70.333333333333329,139.36666666666667,3,2,2,322,On the way out
